id,tenquan,diachi,rating
1,Tadka Indian Restaurant,Hà Nội,
2,Jollibee - EC Vĩnh Hồ,Hà Nội,
3,Cơm Tấm Sườn Nướng - 87 Lò Đúc,Hà Nội,
4,McDonald's - Hồ Gươm,Hà Nội,
5,Burger King - Giảng Võ,Hà Nội,
6,Pizza 4P’s - Phan Kế Bính,Hà Nội,
7,Quán Cơm Rang 1989 - Cơm Rang Văn Phòng,Hà Nội,
8,Cơm Tấm 3 Ông Tướng - Phan Phù Tiên,Hà Nội,
9,Popeyes - Giảng Võ,Hà Nội,
10,KFC - VMQ,Hà Nội,
11,Anh Thư - Bánh Cuốn Gia Truyền - Ngỗ Sĩ Liên,Hà Nội,
12,Bami King - Bánh Mì Bò Nướng & Cơm Thố - An Trạch,Hà Nội,
13,Cơm Gà Q35 - Ngõ Quan Thổ 1 Online,Hà Nội,
14,Meshiya - Cơm Ngon Nhật Bản - Vạn Phúc,Hà Nội,
15,Domino's Pizza - Giảng Võ,Hà Nội,
16,Bánh Mì Cô Chun,Hà Nội,
17,Oishii - Cơm Bò Quốc Dân Nhật Bản - Láng Hạ,Hà Nội,
18,Bánh Mỳ Donner Kebab - Bánh Mỳ Vũ - Trần Nhân Tông,Hà Nội,
19,Starbucks Coffee - Tòa nhà Việt Tower,Hà Nội,
20,Cháo 37 - 318 Khâm Thiên,Hà Nội,
